epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0225,2.2061,3.28639,1.18895,0.77489,0.4733,0.39893,0.20435,1.45958,4.96281,0.90359,0.00010002,0.00010002,0.00010002
2,114.055,1.78492,2.23641,1.01129,0.83216,0.47828,0.49825,0.29843,1.43774,3.60375,0.91154,0.000214565,0.000214565,0.000214565
3,174.728,1.65629,1.45446,0.98715,0.57978,0.78357,0.76818,0.3893,1.55157,1.23497,0.94882,0.000326799,0.000326799,0.000326799
4,229.116,1.62346,1.16805,0.93411,0.66409,0.68564,0.7256,0.43656,1.307,1.28665,0.89689,0.000436722,0.000436722,0.000436722
5,280.39,1.55995,1.13904,0.92835,0.73488,0.76259,0.78404,0.44384,1.48292,0.93758,0.91075,0.000544336,0.000544336,0.000544336
6,328.403,1.50095,1.00138,0.93462,0.58582,0.69647,0.61695,0.29286,1.44949,1.42797,0.9223,0.000649638,0.000649638,0.000649638
7,377.845,1.47756,1.03126,0.91167,0.55433,0.70014,0.63288,0.32207,1.37721,0.99135,0.89689,0.00075263,0.00075263,0.00075263
8,431.641,1.45277,0.92883,0.95154,0.83573,0.79474,0.866,0.54061,1.34995,0.81412,0.90162,0.000853312,0.000853312,0.000853312
9,478.18,1.4655,0.82499,0.93972,0.83134,0.78155,0.85247,0.50129,1.41383,0.79328,0.93049,0.000951684,0.000951684,0.000951684
10,531.823,1.45759,0.84275,0.94504,0.78035,0.7368,0.77452,0.4545,1.42082,0.84056,0.92315,0.00104774,0.00104774,0.00104774
11,587.087,1.48524,0.80298,0.94937,0.65466,0.79374,0.80068,0.47862,1.34834,0.94475,0.90145,0.00114149,0.00114149,0.00114149
12,635.832,1.41802,0.88298,0.93925,0.7536,0.77801,0.76863,0.43545,1.35363,0.87445,0.90247,0.00123293,0.00123293,0.00123293
13,686.026,1.42569,0.76097,0.9322,0.75597,0.76738,0.79012,0.441,1.44144,0.87711,0.91436,0.00132206,0.00132206,0.00132206
14,735.496,1.46338,0.80471,0.94751,0.75597,0.76738,0.79012,0.441,1.44144,0.87711,0.91436,0.00140888,0.00140888,0.00140888
15,783.28,1.38476,0.73196,0.92958,0.78164,0.79581,0.83101,0.49094,1.34742,0.74551,0.9025,0.00143595,0.00143595,0.00143595
16,830.297,1.41039,0.73982,0.94401,0.84817,0.81084,0.85488,0.52827,1.3024,0.75943,0.90005,0.00141945,0.00141945,0.00141945
17,878.009,1.46863,0.76785,0.94099,0.83561,0.86999,0.89219,0.54694,1.29984,0.80635,0.89409,0.00140295,0.00140295,0.00140295
18,923.443,1.43333,0.74253,0.9418,0.84064,0.84265,0.87947,0.52176,1.3566,0.75238,0.90971,0.00138644,0.00138644,0.00138644
19,970.188,1.39137,0.7294,0.91702,0.6499,0.73317,0.75214,0.41477,1.50065,1.13047,0.95129,0.00136994,0.00136994,0.00136994
20,1017.13,1.36682,0.72244,0.94887,0.75723,0.80738,0.8063,0.49199,1.29605,0.85931,0.88733,0.00135344,0.00135344,0.00135344
21,1068.1,1.34586,0.70452,0.91475,0.68685,0.81712,0.82337,0.51254,1.2821,0.91343,0.88348,0.00133693,0.00133693,0.00133693
22,1119.71,1.33673,0.70897,0.91457,0.68685,0.81712,0.82337,0.51254,1.2821,0.91343,0.88348,0.00132043,0.00132043,0.00132043
23,1166.1,1.41984,0.68629,0.92003,0.81638,0.81895,0.85686,0.54307,1.31982,0.77116,0.88594,0.00130393,0.00130393,0.00130393
24,1215.05,1.37502,0.6919,0.94434,0.8315,0.8548,0.87707,0.56774,1.27082,0.70507,0.88597,0.00128742,0.00128742,0.00128742
25,1261.94,1.33796,0.70044,0.90579,0.80707,0.86039,0.89533,0.5714,1.29112,0.76184,0.89698,0.00127092,0.00127092,0.00127092
26,1310.09,1.37672,0.68703,0.9218,0.85398,0.86612,0.91313,0.59238,1.27527,0.68799,0.89145,0.00125442,0.00125442,0.00125442
27,1359.4,1.38711,0.68364,0.91902,0.8549,0.87713,0.91287,0.59629,1.26285,0.66588,0.88277,0.00123791,0.00123791,0.00123791
28,1406.74,1.32275,0.66427,0.8983,0.87398,0.85884,0.90353,0.5892,1.28078,0.68141,0.88633,0.00122141,0.00122141,0.00122141
29,1454.75,1.33159,0.64722,0.92279,0.86042,0.88813,0.90788,0.56969,1.30037,0.69139,0.88655,0.00120491,0.00120491,0.00120491
30,1509.57,1.33626,0.69152,0.88744,0.86042,0.88813,0.90788,0.56969,1.30037,0.69139,0.88655,0.0011884,0.0011884,0.0011884
31,1561.33,1.35878,0.65005,0.88903,0.84962,0.87207,0.89404,0.56121,1.29445,0.68182,0.88729,0.0011719,0.0011719,0.0011719
32,1608.55,1.30673,0.64416,0.88255,0.84008,0.87586,0.88754,0.57781,1.22253,0.65423,0.87641,0.0011554,0.0011554,0.0011554
33,1656.57,1.32918,0.6609,0.89659,0.84801,0.86988,0.89606,0.58855,1.23506,0.65969,0.87949,0.00113889,0.00113889,0.00113889
34,1702.26,1.31572,0.64675,0.9084,0.85652,0.86135,0.91751,0.58929,1.279,0.68295,0.88957,0.00112239,0.00112239,0.00112239
35,1749.36,1.2916,0.63027,0.90754,0.89026,0.86158,0.92227,0.58796,1.29825,0.6493,0.89348,0.00110589,0.00110589,0.00110589
36,1796,1.33472,0.63784,0.87717,0.89344,0.88839,0.93407,0.61969,1.22301,0.60791,0.87822,0.00108938,0.00108938,0.00108938
37,1845.43,1.27847,0.60634,0.89459,0.91535,0.86311,0.94719,0.62941,1.23029,0.60482,0.87819,0.00107288,0.00107288,0.00107288
38,1892.33,1.29814,0.60814,0.87811,0.91535,0.86311,0.94719,0.62941,1.23029,0.60482,0.87819,0.00105638,0.00105638,0.00105638
39,1938.94,1.25612,0.59625,0.90412,0.89934,0.87294,0.94608,0.61503,1.23538,0.61042,0.88524,0.00103987,0.00103987,0.00103987
40,1989.98,1.28087,0.59696,0.90028,0.88198,0.92802,0.95072,0.5933,1.27833,0.60125,0.89461,0.00102337,0.00102337,0.00102337
41,2037.85,1.29408,0.61222,0.88241,0.88464,0.90215,0.9497,0.61393,1.23871,0.58736,0.88194,0.00100687,0.00100687,0.00100687
42,2084.4,1.29783,0.60054,0.89558,0.92726,0.85112,0.94414,0.61598,1.25065,0.59535,0.87592,0.000990365,0.000990365,0.000990365
43,2134.31,1.37582,0.61471,0.92133,0.91814,0.85992,0.93972,0.62061,1.23577,0.60202,0.87255,0.000973861,0.000973861,0.000973861
44,2182.99,1.33017,0.61596,0.8951,0.73824,0.8165,0.72988,0.47867,1.21411,0.69667,0.87994,0.000957358,0.000957358,0.000957358
45,2229.48,1.25974,0.59479,0.88783,0.68681,0.83279,0.67905,0.43095,1.27593,0.75913,0.89515,0.000940855,0.000940855,0.000940855
46,2278.09,1.29562,0.59718,0.89669,0.68681,0.83279,0.67905,0.43095,1.27593,0.75913,0.89515,0.000924352,0.000924352,0.000924352
47,2329.21,1.25187,0.58354,0.88547,0.63198,0.86713,0.63909,0.40763,1.26515,0.94154,0.89345,0.000907848,0.000907848,0.000907848
48,2377.42,1.27615,0.59617,0.91621,0.64265,0.86783,0.65736,0.4324,1.22479,0.85564,0.88175,0.000891345,0.000891345,0.000891345
49,2427.02,1.31101,0.59756,0.88871,0.66961,0.84191,0.67786,0.45424,1.19858,0.76872,0.87454,0.000874842,0.000874842,0.000874842
50,2479.62,1.2548,0.56856,0.8971,0.76172,0.83318,0.7531,0.50061,1.20957,0.6506,0.87358,0.000858338,0.000858338,0.000858338
51,2527.9,1.26264,0.57548,0.90448,0.79866,0.82069,0.77864,0.51083,1.22704,0.62885,0.87338,0.000841835,0.000841835,0.000841835
52,2581.27,1.24283,0.55963,0.9109,0.90689,0.8352,0.90345,0.59975,1.21314,0.5947,0.8687,0.000825332,0.000825332,0.000825332
53,2634.23,1.25292,0.57398,0.8892,0.92212,0.84738,0.93787,0.63285,1.19121,0.57277,0.86622,0.000808828,0.000808828,0.000808828
54,2681.14,1.26094,0.57411,0.87543,0.92212,0.84738,0.93787,0.63285,1.19121,0.57277,0.86622,0.000792325,0.000792325,0.000792325
55,2728.27,1.24542,0.57055,0.88937,0.9321,0.88009,0.94963,0.62766,1.21228,0.56343,0.87228,0.000775822,0.000775822,0.000775822
56,2777.84,1.23112,0.55494,0.88677,0.94546,0.87415,0.95589,0.62259,1.23607,0.5593,0.87471,0.000759318,0.000759318,0.000759318
57,2823.9,1.26972,0.57818,0.88927,0.92036,0.89505,0.96274,0.62721,1.2102,0.55047,0.87492,0.000742815,0.000742815,0.000742815
58,2873.44,1.26837,0.57894,0.87959,0.93726,0.8998,0.9625,0.63081,1.21029,0.55044,0.87692,0.000726312,0.000726312,0.000726312
59,2921.75,1.23378,0.56018,0.88779,0.93698,0.89569,0.95631,0.63168,1.21939,0.55306,0.87635,0.000709809,0.000709809,0.000709809
60,2974.86,1.25117,0.56833,0.87429,0.94156,0.89704,0.95589,0.63142,1.20699,0.55031,0.87428,0.000693305,0.000693305,0.000693305
61,3022.97,1.28094,0.57575,0.87847,0.9221,0.89207,0.95747,0.62942,1.20524,0.54888,0.8738,0.000676802,0.000676802,0.000676802
62,3072.59,1.28639,0.57011,0.89647,0.9221,0.89207,0.95747,0.62942,1.20524,0.54888,0.8738,0.000660299,0.000660299,0.000660299
63,3121.84,1.21801,0.55152,0.87628,0.90187,0.89211,0.95258,0.6173,1.22237,0.55794,0.87289,0.000643795,0.000643795,0.000643795
64,3172.25,1.22672,0.55649,0.87217,0.90758,0.87511,0.94944,0.6076,1.26142,0.56506,0.8746,0.000627292,0.000627292,0.000627292
65,3219.37,1.27916,0.56498,0.87056,0.90114,0.89264,0.94518,0.61724,1.24642,0.56298,0.87166,0.000610789,0.000610789,0.000610789
66,3265.76,1.21454,0.54919,0.88194,0.9067,0.87813,0.94107,0.63149,1.19821,0.55491,0.86638,0.000594286,0.000594286,0.000594286
67,3314.23,1.23393,0.55153,0.88784,0.9182,0.85873,0.9346,0.62791,1.19319,0.5653,0.86827,0.000577782,0.000577782,0.000577782
68,3363.99,1.25061,0.55851,0.87792,0.93915,0.8562,0.9316,0.62441,1.20673,0.57108,0.87116,0.000561279,0.000561279,0.000561279
69,3412.96,1.25763,0.56432,0.88524,0.92424,0.87655,0.94024,0.62551,1.19209,0.5571,0.86743,0.000544776,0.000544776,0.000544776
70,3460.82,1.22406,0.54518,0.87381,0.92424,0.87655,0.94024,0.62551,1.19209,0.5571,0.86743,0.000528272,0.000528272,0.000528272
71,3507.35,1.24079,0.56295,0.87394,0.92665,0.87068,0.94412,0.62948,1.19637,0.54485,0.86672,0.000511769,0.000511769,0.000511769
72,3553.43,1.22202,0.54762,0.88965,0.90174,0.89698,0.95017,0.62873,1.20197,0.54052,0.86941,0.000495266,0.000495266,0.000495266
73,3605.38,1.23639,0.54736,0.86407,0.92317,0.88717,0.95243,0.62916,1.19913,0.54467,0.87168,0.000478762,0.000478762,0.000478762
