epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4521,2.13284,2.62806,1.10075,0.28994,0.3231,0.32072,0.1692,1.64815,2.38331,0.96049,8.335e-05,8.335e-05,8.335e-05
2,108.88,1.42428,1.41527,0.88844,0.42084,0.35887,0.41732,0.25563,1.34275,2.95454,0.84966,0.000181555,0.000181555,0.000181555
3,174.977,1.29759,1.00778,0.85644,0.71581,0.51286,0.56519,0.36059,1.30968,1.80927,0.84562,0.000277779,0.000277779,0.000277779
4,230.495,1.28751,0.8973,0.85658,0.85564,0.53388,0.62514,0.39614,1.34111,1.55971,0.85712,0.000372023,0.000372023,0.000372023
5,283.611,1.38245,0.96816,0.87012,0.84658,0.71939,0.74751,0.44977,1.36922,1.11457,0.86658,0.000464286,0.000464286,0.000464286
6,315.39,1.31841,0.78726,0.86075,0.69403,0.53973,0.58281,0.32065,1.39947,0.91899,0.86932,0.000554569,0.000554569,0.000554569
7,348.611,1.26952,0.72244,0.84882,0.805,0.74508,0.77805,0.43417,1.31118,0.82593,0.85015,0.000642872,0.000642872,0.000642872
8,388.698,1.26402,0.69948,0.8479,0.81641,0.82909,0.8169,0.42559,1.37621,0.84378,0.85508,0.000729194,0.000729194,0.000729194
9,441.549,1.30324,0.69283,0.85034,0.83254,0.82321,0.83109,0.4599,1.34238,0.80938,0.85445,0.000813536,0.000813536,0.000813536
10,494.9,1.31949,0.69589,0.84867,0.88134,0.84011,0.85065,0.48617,1.36181,0.7968,0.852,0.000895897,0.000895897,0.000895897
11,555.819,1.3071,0.6975,0.85016,0.88366,0.83419,0.85065,0.47522,1.3721,0.73452,0.85002,0.000976279,0.000976279,0.000976279
12,621.674,1.28051,0.66888,0.85532,0.86502,0.85439,0.86161,0.49048,1.33569,0.7571,0.84805,0.00105468,0.00105468,0.00105468
13,698.197,1.31482,0.69608,0.85369,0.87562,0.80311,0.83092,0.4681,1.34983,0.77318,0.85429,0.0011311,0.0011311,0.0011311
14,750.506,1.27329,0.71535,0.84013,0.91022,0.7896,0.84776,0.46404,1.41923,0.71796,0.86387,0.00120554,0.00120554,0.00120554
15,830.786,1.24883,0.6792,0.8473,0.91143,0.80801,0.85951,0.47051,1.41923,0.71796,0.86387,0.001278,0.001278,0.001278
16,934.455,1.23285,0.64651,0.86187,0.92235,0.82225,0.86888,0.50504,1.36163,0.67206,0.85566,0.00134848,0.00134848,0.00134848
17,990.635,1.27444,0.65363,0.84202,0.90006,0.74842,0.82873,0.4661,1.35585,0.68,0.85045,0.00140295,0.00140295,0.00140295
18,1052.59,1.33173,0.71935,0.85601,0.85945,0.43436,0.64924,0.37629,1.34086,0.71363,0.8478,0.00138644,0.00138644,0.00138644
19,1101.99,1.25644,0.69014,0.8607,0.89341,0.75443,0.81515,0.45028,1.34086,0.71363,0.8478,0.00136994,0.00136994,0.00136994
20,1158.49,1.32598,0.68334,0.86737,0.90574,0.69855,0.78809,0.43387,1.45478,0.71128,0.86364,0.00135344,0.00135344,0.00135344
21,1256.63,1.32036,0.67373,0.85106,0.92734,0.70256,0.80849,0.46761,1.42974,0.67365,0.86194,0.00133693,0.00133693,0.00133693
22,1305.85,1.33714,0.66975,0.85492,0.92327,0.73636,0.82779,0.4856,1.38171,0.66331,0.85692,0.00132043,0.00132043,0.00132043
23,1365.88,1.306,0.64999,0.84771,0.92064,0.74535,0.8215,0.48007,1.38171,0.66331,0.85692,0.00130393,0.00130393,0.00130393
24,1477.56,1.32005,0.63733,0.86769,0.92396,0.72695,0.82852,0.47829,1.40435,0.65502,0.86038,0.00128742,0.00128742,0.00128742
25,1540.82,1.28847,0.63555,0.85516,0.92758,0.68607,0.80649,0.48097,1.32706,0.63123,0.84947,0.00127092,0.00127092,0.00127092
26,1616.95,1.23194,0.6103,0.84889,0.93315,0.6868,0.80859,0.4841,1.30327,0.63844,0.8448,0.00125442,0.00125442,0.00125442
27,1669.91,1.2681,0.63045,0.84789,0.92606,0.69629,0.7989,0.4745,1.30327,0.63844,0.8448,0.00123791,0.00123791,0.00123791
28,1720.99,1.25333,0.62518,0.85072,0.94459,0.69736,0.81918,0.47887,1.2949,0.63515,0.84474,0.00122141,0.00122141,0.00122141
29,1784.93,1.23173,0.60156,0.84204,0.93598,0.64007,0.7862,0.47899,1.31236,0.60593,0.84853,0.00120491,0.00120491,0.00120491
30,1843.99,1.23164,0.59936,0.83838,0.93485,0.63965,0.78787,0.48711,1.30401,0.60185,0.84683,0.0011884,0.0011884,0.0011884
31,1928.45,1.2073,0.57241,0.84768,0.93749,0.70818,0.82764,0.4945,1.30401,0.60185,0.84683,0.0011719,0.0011719,0.0011719
32,2041.75,1.18672,0.58039,0.85063,0.94853,0.63133,0.78864,0.48998,1.30824,0.59654,0.84853,0.0011554,0.0011554,0.0011554
33,2132.6,1.1833,0.58588,0.84394,0.97811,0.06347,0.52218,0.28895,1.30881,0.60818,0.84917,0.00113889,0.00113889,0.00113889
34,2213.96,1.19417,0.5792,0.84051,0.91414,0.61171,0.77507,0.48479,1.26987,0.6381,0.84265,0.00112239,0.00112239,0.00112239
35,2291.64,1.19077,0.57793,0.8471,0.93733,0.66959,0.81342,0.49538,1.26987,0.6381,0.84265,0.00110589,0.00110589,0.00110589
36,2363.9,1.21547,0.56533,0.84366,0.90224,0.42731,0.66027,0.40968,1.31617,0.60926,0.84456,0.00108938,0.00108938,0.00108938
37,2431.26,1.19012,0.54893,0.85316,0.95006,0.63905,0.79411,0.50024,1.27093,0.58676,0.83862,0.00107288,0.00107288,0.00107288
38,2535.54,1.21582,0.55706,0.85263,0.93106,0.64689,0.7954,0.49791,1.29742,0.60158,0.84565,0.00105638,0.00105638,0.00105638
39,2603.89,1.22284,0.57388,0.85944,0.93376,0.71854,0.83711,0.5121,1.29742,0.60158,0.84565,0.00103987,0.00103987,0.00103987
40,2673.7,1.2373,0.57746,0.83891,0.73299,0.06347,0.39977,0.24414,1.28479,0.58738,0.84359,0.00102337,0.00102337,0.00102337
41,2755.95,1.23187,0.56268,0.82623,0.85473,0.06347,0.46066,0.26455,1.33493,0.58212,0.84906,0.00100687,0.00100687,0.00100687
42,2880.61,1.22667,0.54811,0.85303,0.90295,0.44714,0.66281,0.41445,1.3106,0.57452,0.84648,0.000990365,0.000990365,0.000990365
43,2958.02,1.16705,0.54786,0.83817,0.93156,0.65222,0.79016,0.48477,1.3106,0.57452,0.84648,0.000973861,0.000973861,0.000973861
44,3047.95,1.1922,0.5491,0.85226,0.89482,0.44604,0.65346,0.40967,1.27075,0.5743,0.84389,0.000957358,0.000957358,0.000957358
45,3154.44,1.18388,0.53647,0.84448,0.72024,0.06326,0.38193,0.23081,1.27514,0.57144,0.84436,0.000940855,0.000940855,0.000940855
46,3259.88,1.17325,0.53933,0.84041,0.69893,0.06347,0.38277,0.23638,1.27501,0.56645,0.84312,0.000924352,0.000924352,0.000924352
47,3377.28,1.20451,0.54374,0.85317,0.81761,0.12813,0.40871,0.27943,1.27501,0.56645,0.84312,0.000907848,0.000907848,0.000907848
48,3442.04,1.19116,0.53519,0.84463,0.92508,0.28053,0.53948,0.38541,1.28822,0.57471,0.84273,0.000891345,0.000891345,0.000891345
49,3522.95,1.19139,0.5444,0.85033,0.91072,0.44446,0.66399,0.41716,1.29284,0.58366,0.84315,0.000874842,0.000874842,0.000874842
50,3641.78,1.2143,0.55297,0.84687,0.92104,0.28014,0.55087,0.3898,1.2696,0.57606,0.84243,0.000858338,0.000858338,0.000858338
51,3734.63,1.18868,0.55291,0.8529,0.90444,0.44349,0.66254,0.41604,1.2696,0.57606,0.84243,0.000841835,0.000841835,0.000841835
52,3834.76,1.1894,0.55215,0.83524,0.88295,0.06249,0.43884,0.23912,1.28268,0.5722,0.84428,0.000825332,0.000825332,0.000825332
53,3940.12,1.1939,0.55208,0.82946,0.90822,0.44425,0.66185,0.41325,1.29452,0.56845,0.84374,0.000808828,0.000808828,0.000808828
54,4049.19,1.17762,0.53906,0.83497,0.85473,0.06347,0.46064,0.268,1.27634,0.56185,0.84066,0.000792325,0.000792325,0.000792325
55,4171.43,1.2209,0.55223,0.8375,0.8771,0.12813,0.44945,0.30964,1.27634,0.56185,0.84066,0.000775822,0.000775822,0.000775822
56,4286.94,1.19141,0.55051,0.84409,0.91561,0.44101,0.66058,0.41897,1.25847,0.56142,0.838,0.000759318,0.000759318,0.000759318
57,4437.36,1.17284,0.5421,0.8336,0.93149,0.27958,0.548,0.38723,1.25177,0.56005,0.83734,0.000742815,0.000742815,0.000742815
58,4545.98,1.22128,0.56171,0.83638,0.92963,0.27958,0.55228,0.39222,1.24948,0.55632,0.83766,0.000726312,0.000726312,0.000726312
59,4643.87,1.14684,0.5231,0.84356,0.92249,0.44146,0.66156,0.41756,1.24948,0.55632,0.83766,0.000709809,0.000709809,0.000709809
60,4759.04,1.14436,0.51749,0.83859,0.90829,0.44032,0.65627,0.41285,1.25702,0.56242,0.83816,0.000693305,0.000693305,0.000693305
61,4888.94,1.15588,0.53307,0.83537,0.91134,0.20179,0.48658,0.33748,1.2876,0.56469,0.8422,0.000676802,0.000676802,0.000676802
62,5028.65,1.1666,0.53227,0.84537,0.92322,0.27971,0.5518,0.39055,1.32502,0.5754,0.84736,0.000660299,0.000660299,0.000660299
63,5140.76,1.16556,0.53826,0.83961,0.89382,0.44122,0.65403,0.40286,1.32502,0.5754,0.84736,0.000643795,0.000643795,0.000643795
64,5234.34,1.1576,0.52021,0.83902,0.81287,0.06347,0.42399,0.24961,1.29684,0.57263,0.84407,0.000627292,0.000627292,0.000627292
65,5363.46,1.12806,0.50287,0.84016,0.7873,0.06347,0.42399,0.25104,1.30391,0.56019,0.84461,0.000610789,0.000610789,0.000610789
66,5477.86,1.15701,0.50576,0.84443,0.73678,0.06347,0.39982,0.24309,1.25074,0.54404,0.83917,0.000594286,0.000594286,0.000594286
67,5600.24,1.15316,0.51582,0.8346,0.88087,0.12792,0.43005,0.29394,1.25074,0.54404,0.83917,0.000577782,0.000577782,0.000577782
68,5706.11,1.15244,0.51867,0.84424,0.73299,0.06347,0.3998,0.23959,1.25434,0.54976,0.83929,0.000561279,0.000561279,0.000561279
69,5851.25,1.13715,0.52082,0.84252,0.69893,0.06347,0.38275,0.22317,1.26479,0.5505,0.8399,0.000544776,0.000544776,0.000544776
